Reading problem outline... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
With scale 21
Unpickling rounded matrices
Reading problem file... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
Testing of rounded starts...
100318 / 110348 rounded to 0.17685115667307996 	 min so far 0.07922638753013052
100319 / 110348 rounded to 0.10535653318743463 	 min so far 0.07922638753013052
100320 / 110348 rounded to 0.09451523983594093 	 min so far 0.07922638753013052
100321 / 110348 rounded to 0.20358981671238613 	 min so far 0.07922638753013052
100322 / 110348 rounded to 0.08816958776792612 	 min so far 0.07922638753013052
100323 / 110348 rounded to 0.09423546330138198 	 min so far 0.07922638753013052
100324 / 110348 rounded to 0.1971007341318766 	 min so far 0.07922638753013052
100325 / 110348 rounded to 0.093262641595706 	 min so far 0.07922638753013052
100326 / 110348 rounded to 0.1816666629344309 	 min so far 0.07922638753013052
100327 / 110348 rounded to 0.15027645659849675 	 min so far 0.07922638753013052
100328 / 110348 rounded to 0.23957280662472522 	 min so far 0.07922638753013052
100329 / 110348 rounded to 0.1601838640949904 	 min so far 0.07922638753013052
100330 / 110348 rounded to 0.28103332576003737 	 min so far 0.07922638753013052
100331 / 110348 rounded to 0.13985102533647162 	 min so far 0.07922638753013052
100332 / 110348 rounded to 0.17710597864704292 	 min so far 0.07922638753013052
100333 / 110348 rounded to 0.20746893381309733 	 min so far 0.07922638753013052
100334 / 110348 rounded to 0.2503108079526698 	 min so far 0.07922638753013052
100335 / 110348 rounded to 0.19113154237541705 	 min so far 0.07922638753013052
100336 / 110348 rounded to 0.21474677112436982 	 min so far 0.07922638753013052
100337 / 110348 rounded to 0.2162385254513626 	 min so far 0.07922638753013052
100338 / 110348 rounded to 0.21260133513463386 	 min so far 0.07922638753013052
100339 / 110348 rounded to 0.13870902110035693 	 min so far 0.07922638753013052
100340 / 110348 rounded to 0.12526981552212182 	 min so far 0.07922638753013052
100341 / 110348 rounded to 0.079226556683898 	 min so far 0.07922638753013052
100342 / 110348 rounded to 0.14604903072379716 	 min so far 0.07922638753013052
100343 / 110348 rounded to 0.15814229349809672 	 min so far 0.07922638753013052
100344 / 110348 rounded to 0.07922639005583727 	 min so far 0.07922638753013052
100345 / 110348 rounded to 0.2249529604782606 	 min so far 0.07922638753013052
100346 / 110348 rounded to 0.11134542016108154 	 min so far 0.07922638753013052
100347 / 110348 rounded to 0.19241279693104213 	 min so far 0.07922638753013052
100348 / 110348 rounded to 0.14338378171073263 	 min so far 0.07922638753013052
100349 / 110348 rounded to 0.22575695904789414 	 min so far 0.07922638753013052
100350 / 110348 rounded to 0.24389475258977114 	 min so far 0.07922638753013052
100351 / 110348 rounded to 0.1726564211989352 	 min so far 0.07922638753013052
100352 / 110348 rounded to 0.11347787762297881 	 min so far 0.07922638753013052
100353 / 110348 rounded to 0.12937439541933637 	 min so far 0.07922638753013052
100354 / 110348 rounded to 0.09234291260011991 	 min so far 0.07922638753013052
100355 / 110348 rounded to 0.15268071131708347 	 min so far 0.07922638753013052
100356 / 110348 rounded to 0.19710015886508486 	 min so far 0.07922638753013052
100357 / 110348 rounded to 0.21278538421513127 	 min so far 0.07922638753013052
100358 / 110348 rounded to 0.1440629170738037 	 min so far 0.07922638753013052
100359 / 110348 rounded to 0.11365822880551628 	 min so far 0.07922638753013052
100360 / 110348 rounded to 0.12126590778008393 	 min so far 0.07922638753013052
100361 / 110348 rounded to 0.07922638685837413 	 min so far 0.07922638753013052
